StudentNumber,Gender,GradeLevel,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,RiskRating
1,Female,1,7,6,1,4,3,5,4,3,6,4,5,3,6,6,4,5,4,6,2,6,5,3,7,4,5,2,7,6,Low
2,Female,1,3,7,4,6,2,7,6,3,6,3,7,7,7,7,5,6,3,5,2,7,7,4,5,3,4,1,2,5,Low
3,Female,1,4,5,4,7,2,7,6,4,5,3,5,2,6,6,3,6,3,6,2,7,7,2,6,4,6,2,5,5,Low
4,Male,1,4,4,4,6,1,5,2,5,7,5,7,1,4,6,4,5,3,7,1,5,6,3,6,5,6,3,7,6,Low
5,Female,1,3,5,3,7,2,5,3,3,6,2,7,1,5,6,3,5,4,5,2,5,7,5,6,5,7,2,7,6,Low
6,Male,1,4,5,3,6,3,6,5,4,6,4,5,2,6,4,7,7,3,5,3,5,5,6,7,5,5,2,7,6,Low
7,Male,1,3,6,5,5,2,6,2,3,5,3,7,4,6,7,3,5,3,5,1,7,6,3,6,5,6,1,4,5,Low
8,Female,1,4,5,2,7,1,5,4,4,5,3,5,3,6,6,2,6,5,6,3,6,5,4,6,5,5,2,7,6,Low
9,Male,1,3,6,4,5,3,7,3,3,6,4,7,2,7,6,4,5,3,7,4,6,7,3,6,4,5,2,7,5,Low
10,Male,1,3,5,3,7,3,3,4,2,6,5,6,2,4,5,4,7,2,7,1,4,6,3,5,4,7,2,6,5,Low
11,Female,1,2,5,4,6,1,5,3,1,7,4,7,1,5,6,5,6,3,5,4,5,7,2,5,3,5,2,7,7,Low
12,Female,1,4,5,2,7,2,7,5,4,6,5,6,1,7,5,4,6,4,4,3,7,6,5,5,5,6,2,7,5,Low
13,Male,1,5,7,3,4,1,6,2,3,5,7,6,3,7,6,4,6,4,7,2,7,6,4,5,4,3,2,5,5,Low
14,Male,1,5,5,4,6,2,6,3,3,5,3,6,2,7,5,3,6,4,6,1,7,7,4,7,2,6,2,6,6,Low
15,Male,1,4,3,4,4,4,4,2,6,6,4,2,4,2,6,2,2,6,4,2,2,6,4,2,4,2,2,4,6,Medium
16,Female,1,5,6,6,5,1,7,5,3,7,6,6,2,6,7,5,7,2,5,3,5,6,4,6,2,6,1,4,6,Low
17,Male,1,4,7,4,7,1,7,4,5,7,4,6,2,7,5,6,6,2,7,2,5,5,4,7,4,5,2,6,5,Low
18,Female,1,5,5,5,6,2,4,4,4,6,4,5,2,7,6,4,4,1,7,2,7,6,5,6,5,5,2,7,4,Low
19,Female,1,3,5,3,6,4,6,4,5,7,2,5,2,7,6,4,5,2,6,3,5,5,6,6,4,6,2,6,6,Low
20,Female,1,5,5,5,6,2,4,4,4,6,3,5,2,5,6,4,7,1,5,3,5,5,5,5,3,5,2,7,5,Low
21,Female,1,5,4,3,5,1,4,4,4,3,4,6,2,6,5,5,6,4,6,1,5,7,4,4,4,6,3,6,6,Low
22,Female,1,3,5,3,5,1,3,3,2,6,1,3,1,5,5,2,5,5,5,1,5,4,3,3,1,4,1,4,5,Low
23,Female,1,4,5,4,5,2,6,3,4,4,4,6,2,7,7,4,6,4,6,2,6,4,4,2,3,5,3,6,7,Low
24,Male,1,2,7,3,6,3,7,5,5,7,5,7,2,6,7,5,7,5,6,4,6,6,4,6,4,7,1,7,7,Low
25,Male,1,3,6,2,5,2,6,5,2,6,4,5,1,5,5,2,3,3,6,1,4,5,4,3,4,6,1,3,3,Low
26,Male,1,4,6,6,6,2,7,5,2,7,4,5,1,7,6,4,5,4,6,2,4,6,3,5,3,6,2,5,4,Low
27,Male,1,2,6,3,3,1,5,2,4,6,1,4,1,4,4,4,7,3,6,3,3,6,2,5,3,6,1,6,4,Low
28,Female,1,5,6,2,5,1,7,5,3,7,3,5,1,6,6,3,6,3,7,3,6,4,3,5,4,6,2,6,6,Low
29,Female,1,5,5,4,6,1,7,4,4,6,5,7,3,6,6,2,6,4,6,1,5,4,3,4,5,6,1,7,7,Low
30,Female,1,4,5,3,7,2,5,4,5,4,3,6,2,7,5,4,7,5,7,2,7,7,3,6,3,7,3,5,5,Low
31,Female,1,4,7,3,6,1,6,2,5,7,4,6,1,5,6,5,5,4,7,3,5,7,5,6,4,6,1,6,5,Low
