Name,Gender,Grade,Because I need at least a high-school degree in order to find a high-paying job later on.,Because I experience pleasure and satisfaction while learning new things.,Because I think that a high-school education will help me better prepare for the career I have chosen.,Because I really like going to school.,"Honestly, I don't know; I really feel that I am wasting my time in school.",For the pleasure I experience while surpassing myself in my studies.,To prove to myself that I am capable of completing my high-school degree.,In order to obtain a more prestigious job later on.,For the pleasure I experience when I discover new things never seen before.,Because eventually it will enable me to enter the job market in a field that I like.,"Because for me, school is fun.","I once had good reasons for going to school; however, now I wonder whether I should continue.",For the pleasure that I experience while I am surpassing myself in one of my personal accomplishments.,"Because of the fact that when I succeed in school I feel
important.","Because I want to have ""the good life"" later on.","For the pleasure that I experience in broadening my
knowledge about subjects which appeal to me.",Because this will help me make a better choice regarding my career orientation.,"For the pleasure that I experience when I am taken by
discussions with interesting teachers.","I can't see why I go to school and frankly, I couldn't care
less.","For the satisfaction I feel when I am in the process of
accomplishing difficult academic activities.",To show myself that I am an intelligent person.,In order to have a better salary later on.,"Because my studies allow me to continue to learn about
many things that interest me.","Because I believe that my high school education will
improve my competence as a worker.","For the ""high"" feeling that I experience while reading about various interesting subjects.",I don't know; I can't understand what I am doing in school.,Because high school allows me to experience a personal satisfaction in my quest for excellence in my studies.,"Because I want to show myself that I can succeed in my
studies."
1001,Female,4,3,3,2,4,6,6,2,1,1,6,6,1,4,1,5,3,7,4,3,4,3,4,7,5,2,6,4,1
1002,Male,2,6,1,3,2,3,5,3,4,4,4,3,7,2,1,2,6,6,1,1,6,1,3,4,6,3,4,2,2
1003,Male,5,2,2,6,3,6,2,4,4,7,1,4,2,5,5,2,3,4,1,7,1,2,6,6,5,6,7,4,7
1004,Male,12,6,2,1,2,1,7,1,3,7,2,1,6,7,2,5,6,7,5,5,5,4,3,6,7,7,4,7,4
1005,Male,8,4,6,7,6,6,4,2,3,6,4,1,5,4,3,6,1,2,4,1,6,3,6,7,1,1,7,1,7
1006,Male,2,5,1,5,3,5,3,6,6,1,1,2,7,1,4,4,3,7,4,1,7,3,2,7,1,4,3,1,3
1007,Male,3,7,3,2,4,2,3,4,6,4,5,7,7,5,7,4,7,4,2,4,3,7,2,2,6,1,2,1,3
1008,Male,7,1,5,5,5,2,5,2,3,7,7,1,3,7,6,3,5,2,3,1,1,6,7,3,5,3,3,3,6
1009,Male,4,5,3,5,4,3,4,5,6,3,3,6,2,2,6,4,3,1,7,4,6,2,2,7,6,5,3,6,2
1010,Female,1,4,7,5,3,7,7,6,7,7,2,5,4,4,6,1,6,7,5,2,4,4,2,7,3,3,6,2,3
1011,Male,1,3,5,1,7,5,2,6,1,7,1,7,6,4,4,7,1,1,3,1,4,3,1,6,3,3,3,5,7
1012,Male,12,2,5,4,6,1,2,2,1,4,4,3,5,3,2,4,7,6,5,2,3,3,6,3,7,6,7,2,4
1013,Male,6,2,1,1,5,3,1,2,5,5,3,7,1,3,6,3,3,1,5,2,3,1,5,5,2,5,2,5,6
1014,Female,4,5,7,4,6,1,7,5,3,3,7,3,4,2,4,6,1,2,5,3,7,6,1,6,1,7,5,1,3
1015,Male,5,1,4,7,3,2,7,4,7,1,6,5,3,1,5,3,1,5,4,1,2,2,1,5,6,4,4,5,2
1016,Male,3,3,6,3,6,6,6,7,5,4,3,5,4,4,3,3,2,4,1,2,6,7,4,4,5,5,1,5,7
1017,Female,4,2,3,7,1,2,1,4,5,6,3,3,2,3,1,3,1,5,1,5,7,1,3,4,6,1,1,3,3
1018,Female,12,7,1,2,7,2,1,4,4,1,4,3,2,4,2,3,2,4,1,6,3,2,7,3,5,3,7,1,6
1019,Male,8,6,6,3,3,7,4,7,2,3,6,1,2,1,7,5,4,4,3,5,4,1,7,1,5,1,4,1,7
1020,Female,5,4,6,2,4,5,4,2,5,2,1,3,4,1,7,2,5,4,5,4,6,1,6,4,6,1,4,2,6
1021,Female,3,2,3,1,4,5,3,1,6,1,5,1,5,1,3,6,4,3,5,5,7,5,7,4,5,4,3,5,4
1022,Male,5,1,2,6,5,5,4,5,6,4,7,7,6,2,5,4,1,5,6,6,6,1,3,5,4,7,6,5,4
1023,Male,11,3,2,5,1,1,2,3,6,3,3,3,1,1,4,2,1,7,5,4,1,2,7,6,2,4,6,5,2
1024,Male,2,5,3,5,4,6,6,7,6,4,7,5,7,5,2,7,6,3,2,1,1,5,5,2,4,4,4,4,6
1025,Male,9,7,2,6,4,7,2,5,1,4,3,7,7,4,4,2,5,4,5,7,7,4,7,4,2,5,5,2,4
1026,Male,12,1,4,3,5,7,6,7,1,5,4,2,4,3,1,2,5,4,2,5,1,4,4,7,5,2,5,4,2
1027,Male,5,2,4,1,4,1,3,7,6,7,3,7,3,2,6,4,5,7,3,6,4,1,2,1,2,3,2,1,2
1028,Male,9,1,6,4,4,1,6,7,3,7,4,2,7,5,5,5,3,2,2,7,7,6,3,7,7,4,2,4,3
1029,Female,12,1,5,2,2,1,6,2,6,6,5,3,6,7,1,3,7,2,7,1,6,6,2,3,5,4,3,4,3
1030,Female,11,7,1,5,5,2,2,5,7,3,7,4,4,5,5,5,3,2,6,5,6,6,5,5,2,6,2,5,6
1031,Male,3,2,1,7,1,1,1,7,5,7,6,7,3,2,7,2,6,5,7,1,4,4,3,7,5,5,6,2,3
1032,Female,7,4,1,3,4,7,2,3,5,7,6,6,4,1,7,6,7,3,6,4,5,4,3,4,6,6,1,2,1
1033,Male,9,6,5,3,7,7,5,7,2,1,1,4,7,5,2,4,3,7,1,7,4,5,2,1,5,2,4,5,4
1034,Female,4,3,2,1,7,2,3,3,6,5,7,6,3,7,1,5,4,2,2,4,7,5,5,3,5,2,4,2,5
1035,Female,6,5,3,5,2,7,3,2,3,3,5,2,1,2,7,4,6,2,6,6,4,4,4,6,1,5,2,6,4
1036,Female,4,1,7,7,4,5,6,6,1,5,2,3,6,2,1,6,6,1,1,1,7,4,7,7,3,4,6,6,2
1037,Female,12,5,5,7,3,4,7,3,5,1,4,2,4,3,2,3,4,5,3,1,6,1,3,5,4,1,6,6,5
1038,Female,5,2,4,3,7,5,7,7,2,4,2,3,1,3,1,1,1,5,6,6,2,3,2,7,5,5,4,5,1
1039,Male,12,6,4,7,2,7,5,4,2,4,3,3,6,6,1,2,6,2,4,5,2,7,1,3,7,5,3,5,7
1040,Female,7,1,1,5,7,5,4,7,1,3,4,6,1,4,7,2,3,4,5,5,5,1,7,7,3,3,1,5,5
1041,Male,11,1,6,2,2,7,7,6,7,6,7,3,5,1,2,7,1,1,2,4,5,2,1,6,1,7,1,1,4
1042,Male,6,7,1,1,1,7,4,5,6,6,3,1,3,2,2,5,1,4,4,7,1,6,7,1,5,7,2,7,5
1043,Male,1,6,4,5,2,5,5,1,7,6,1,2,4,7,1,4,5,1,3,4,3,3,6,4,6,4,5,2,2
1044,Female,8,3,5,2,3,7,6,4,6,5,6,5,2,2,7,4,2,2,2,4,3,1,4,3,5,1,4,7,2
1045,Male,12,3,4,4,6,1,7,2,2,2,4,2,3,7,5,6,4,1,4,1,3,7,1,5,6,3,4,6,2
1046,Male,1,3,7,3,4,6,5,5,6,5,7,3,3,7,2,4,3,4,2,4,3,7,6,2,7,3,3,3,1
1047,Female,1,1,1,2,6,1,6,7,4,7,3,7,2,1,1,1,6,7,2,4,7,3,4,1,7,6,6,4,7
1048,Male,7,1,7,2,2,4,7,2,6,5,1,7,1,5,4,5,7,6,2,7,4,1,6,4,2,2,7,6,5
1049,Female,4,5,5,3,5,7,7,3,6,4,7,5,3,5,4,1,7,7,7,6,1,2,2,1,2,2,6,7,2
1050,Female,8,3,6,3,6,3,1,6,3,7,6,4,2,4,2,3,1,3,2,2,1,3,4,7,6,6,3,3,3
1051,Female,8,4,6,6,2,4,1,2,2,1,7,4,1,6,3,6,4,2,3,3,7,7,2,1,1,6,1,4,1
1052,Female,12,7,7,6,5,7,2,3,1,1,7,6,1,6,2,2,7,3,3,3,2,7,4,4,6,7,2,1,5
1053,Male,4,4,3,2,4,7,1,1,6,7,1,6,4,4,3,2,4,4,2,2,5,2,1,1,4,3,4,6,2
1054,Male,1,7,6,7,5,2,7,7,1,1,1,5,7,1,5,5,3,6,2,5,5,7,2,7,4,3,5,3,6
1055,Female,4,5,7,7,6,6,7,3,6,2,2,6,3,1,7,3,3,4,1,5,7,1,5,4,1,7,5,5,6
1056,Female,3,7,2,7,2,2,1,2,1,3,6,2,4,1,4,6,7,6,6,4,5,4,1,1,7,6,6,2,3
1057,Male,12,6,1,2,4,4,6,5,4,3,4,3,2,5,7,3,6,1,5,2,5,3,7,1,6,7,1,7,4
1058,Female,6,6,6,3,1,7,2,6,6,4,6,7,6,1,7,7,7,3,7,3,2,1,2,4,2,5,2,4,6
1059,Male,5,4,7,4,4,3,7,2,5,7,7,5,1,6,2,6,6,4,2,4,5,7,3,4,1,6,2,1,2
1060,Female,6,3,6,4,2,4,4,5,5,2,4,4,1,1,6,2,6,7,7,7,6,5,6,6,2,5,1,3,7
1061,Male,10,2,1,2,2,5,3,7,4,3,1,7,3,6,2,4,4,6,6,4,7,1,2,3,6,5,4,4,6
